"","X","Filename","Noun","Tone","SentenceType","Speaker","Label","vowelOnsetF0","midpointF0","vowelOffsetF0","SlopeF0","base.line","Midpoint_ST","V_offset_ST","V_onset_ST","Slope_ST"
"4",29,"Mool-F_H-Ter-1","Mool","H","F_H","Ter","n",140.8,130.4,124.6,16.2,98.8963,4.78747,3.99979,6.11591,2.11612
"24",144,"bold_person-F_H-Ter-1","bold_person","L","F_H","Ter","n",161.9,148.6,140.4,21.5,98.8963,7.04935,6.06665,8.53337,2.46672
"44",249,"cooked_maize-F_H-Ter-1","cooked_maize","L","F_H","Ter","n",152.5,147.3,115.2,37.3,98.8963,6.89723,2.64183,7.49785,4.85602
"64",369,"cotton-F_H-Ter-1","cotton","HL","F_H","Ter","n",145.5,136.6,125.4,20.1,98.8963,5.59163,4.11059,6.68437,2.57378
"84",489,"cow-F_H-Ter-1","cow","HL","F_H","Ter","n",165.6,153.8,147.7,17.9,98.8963,7.6448,6.94418,8.92457,1.98039
"104",609,"crocodile-F_H-Ter-1","crocodile","HL","F_H","Ter","n",179.5,164.2,148,31.5,98.8963,8.77759,6.9793,10.31994,3.34064
"119",724,"crocodiles-F_H-Ter-1","crocodiles","H","F_H","Ter","n",182.1,179.2,170.5,11.6,98.8963,10.29099,9.4294,10.56891,1.13951
"139",839,"curse-F_H-Ter-1","curse","HL","F_H","Ter","n",186.5,176.1,166.9,19.6,98.8963,9.98888,9.05995,10.98225,1.9223
"159",959,"curve-F_H-Ter-1","curve","HL","F_H","Ter","n",202.6,180.9,167.4,35.2,98.8963,10.45445,9.11173,12.41575,3.30402
"179",1074,"deep_river-F_H-Ter-1","deep_river","L","F_H","Ter","n",132.9,128.2,122.5,10.4,98.8963,4.49289,3.70552,5.11623,1.41071
"199",1189,"eye-F_H-Ter-1","eye","L","F_H","Ter","n",149.5,141.7,139.9,9.6,98.8963,6.22622,6.00489,7.15388,1.14899
"219",1309,"eyes-F_H-Ter-1","eyes","H","F_H","Ter","n",186,179.9,169.3,16.7,98.8963,10.35848,9.30712,10.93577,1.62865
"239",1424,"fire-F_H-Ter-1","fire","L","F_H","Ter","n",164.9,152.3,143.4,21.5,98.8963,7.47513,6.43268,8.85124,2.41856
"259",1544,"girl-F_H-Ter-1","girl","L","F_H","Ter","n",140.2,128.1,123.8,16.4,98.8963,4.47938,3.88827,6.04197,2.1537
"279",1664,"grass-F_H-Ter-1","grass","L","F_H","Ter","n",130.8,122,115.9,14.9,98.8963,3.63471,2.74671,4.84049,2.09378
"299",1784,"gum-F_H-Ter-1","gum","H","F_H","Ter","n",176.1,176.5,164.7,11.4,98.8963,10.02816,8.83023,9.98888,1.15865
"319",1904,"gums-F_H-Ter-1","gums","H","F_H","Ter","n",173.5,169.5,165.4,8.1,98.8963,9.32756,8.90365,9.73137,0.82772
"339",2009,"k_fish-F_H-Ter-1","k_fish","L","F_H","Ter","n",158.7,158.1,148.6,10.1,98.8963,8.12219,7.04935,8.18776,1.13842
"359",2114,"k_grasshopper-F_H-Ter-1","k_grasshopper","HL","F_H","Ter","n",171.8,162.4,155.2,16.6,98.8963,8.58676,7.80168,9.5609,1.75922
"379",2234,"lion-F_H-Ter-1","lion","L","F_H","Ter","n",163.6,149.6,136.9,26.7,98.8963,7.16546,5.62961,8.71421,3.0846
"389",2344,"mirror-F_H-Ter-1","mirror","L","F_H","Ter","n",134.8,121.9,116.9,17.9,98.8963,3.62052,2.89544,5.36198,2.46655
"404",2459,"mosquitonet-F_H-Ter-1","mosquitonet","L","F_H","Ter","n",136.8,124.1,115,21.8,98.8963,3.93018,2.61174,5.61696,3.00521
"424",2579,"mother-F_H-Ter-1","mother","HL","F_H","Ter","n",181.8,171.3,159,22.8,98.8963,9.51044,8.22046,10.54036,2.31991
"444",2699,"my_mother-F_H-Ter-1","my_mother","HL","F_H","Ter","n",186.3,164.2,134.9,51.4,98.8963,8.77759,5.37482,10.96367,5.58885
"464",2819,"peace-F_H-Ter-1","peace","HL","F_H","Ter","n",179.2,164.3,146.7,32.5,98.8963,8.78813,6.82657,10.29099,3.46442
"484",2934,"prostitutes-F_H-Ter-1","prostitutes","HL","F_H","Ter","n",181.3,169.6,155.1,26.2,98.8963,9.33777,7.79052,10.49269,2.70216
"504",3034,"relationship-F_H-Ter-2","relationship","L","F_H","Ter","n",157.2,142.4,132.1,25.1,98.8963,6.31153,5.0117,8.02335,3.01165
"524",3154,"river_stone-F_H-Ter-1","river_stone","HL","F_H","Ter","n",158.3,148.1,140.4,17.9,98.8963,6.991,6.06665,8.14407,2.07742
"544",3269,"shaking-F_H-Ter-1","shaking","L","F_H","Ter","n",142.9,130.6,122.2,20.7,98.8963,4.814,3.66307,6.37221,2.70914
"564",3389,"sheep_dung-F_H-Ter-1","sheep_dung","HL","F_H","Ter","n",182.2,162.5,142.2,40,98.8963,8.59742,6.2872,10.57841,4.29122
"584",3499,"soils-F_H-Ter-1","soils","H","F_H","Ter","n",177.5,177.8,170.8,6.7,98.8963,10.1552,9.45983,10.12597,0.66613
"604",3604,"thief-F_H-Ter-1","thief","H","F_H","Ter","n",185.4,180.1,170.9,14.5,98.8963,10.37772,9.46997,10.87983,1.40987
